School_Name_ZhT;School_Name;City;State;lat;lng;Univ_Py;Country;Country_ZhT;Notes
;Atlanta Metropolitan State College - Atlanta, GA;Atlanta;Georgia;33.7628;-84.422;;United States;美國;
大西洋聯盟學院;Atlantic Union College;South Lancaster;Massachusetts;42.4373;-71.692;;United States;美國;
;Auburn University;Auburn;Alabama;32.6087;-85.4903;;United States;美國;
;Auburn University at Montgomery;Montgomery;Alabama;32.3482;-86.2668;;United States;美國;
;Augsburg University;Minneapolis;Minnesota;44.9635;-93.2678;;United States;美國;
;Augusta University;Augusta;Georgia;33.3645;-82.0708;;United States;美國;
;Augustana College;Rock Island;Illinois;41.4699;-90.5827;;United States;美國;
;Augustana University;Sioux Falls;South Dakota;43.5396;-96.7311;;United States;美國;
;Aurora University;Aurora;Illinois;41.7638;-88.2902;;United States;美國;
;Austin College;Sherman;Texas;33.6273;-96.6221;;United States;美國;
;Austin Peay State University;Clarksville;Tennessee;36.5692;-87.3413;;United States;美國;
;Ave Maria University;Ave Maria;Florida;26.3218;-81.4397;;United States;美國;
;Averett University;Danville;Virginia;36.5831;-79.4088;;United States;美國;
;Avila University;Kansas City;Missouri;39.1238;-94.5541;;United States;美國;
;Azusa Pacific University;Azusa;California;34.1386;-117.9124;;United States;美國;
;Babson College;Babson Park;Florida;27.8342;-81.5281;;United States;美國;
;Bacone College;Muskogee;Oklahoma;35.7432;-95.3567;;United States;美國;
;Baker College;Flint;Michigan;43.0236;-83.6921;;United States;美國;
;Baker University;Baldwin City;Kansas;38.7782;-95.188;;United States;美國;
鮑而溫學院;Baldwin University;Ballwin;Missouri;38.595;-90.55;;United States;美國;
鮑德溫華萊士學院;Baldwin Wallace University;Berea;Ohio;41.3696;-81.8641;;United States;美國;
;Baldwin Wallace University;Berea;Ohio;41.3696;-81.8641;;United States;美國;
;Ball State University;Muncie;Indiana;40.1989;-85.395;;United States;美國;
;Bank Street College of Education;New York City;New York;40.6943;-73.9249;;United States;美國;
;Baptist Bible College;Springfield;Missouri;37.1943;-93.2916;;United States;美國;
;Baptist Health Sciences University;Memphis;Tennessee;35.1087;-89.9663;;United States;美國;
;Baptist Health Sciences University;Memphis;Tennessee;35.1087;-89.9663;;United States;美國;
;Baptist University of the Americas;San Antonio;Texas;29.4632;-98.5238;;United States;美國;
;Baptist University of the Americas;San Antonio;Texas;29.4632;-98.5238;;United States;美國;
;Barclay College;Haviland;Kansas;37.6173;-99.1059;;United States;美國;
;Bard College;Red Hook;New York;41.99509;-73.87541;;United States;美國;
;Bard College at Simon's Rock;Great Barrington;Massachusetts;42.19592;-73.36206;;United States;美國;
;Barnard College;New York City;New York;40.6943;-73.9249;;United States;美國;
巴納德學院;Barnard College of Columbia University;New York City;New York;40.6943;-73.9249;;United States;美國;
;Barry University;Miami;Florida;25.784;-80.2101;;United States;美國;
;Barton College;Wilson;North Carolina;35.7311;-77.9284;;United States;美國;
;Baruch College;New York City;New York;40.6943;-73.9249;;United States;美國;
;Baruch College CUNY;New York;New York;43.00035;-75.4999;;United States;美國;
;Bastyr University;Kenmore;New York;42.9646;-78.8713;;United States;美國;
;Bates College;Lewiston;Maine;44.0915;-70.1681;;United States;美國;
;Bay Path University;Longmeadow;Massachusetts;42.0501;-72.58287;;United States;美國;
;Bay State College;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
;Baylor College of Medicine;Houston;Texas;29.786;-95.3885;;United States;美國;
貝勒大學;Baylor University;Waco;Texas;31.5599;-97.1882;;United States;美國;
;Beacon College;Leesburg;Florida;28.7672;-81.8962;;United States;美國;
;Becker College;Worcester;Massachusetts;42.2705;-71.8079;;United States;美國;
;Belhaven University;Jackson;Mississippi;32.3157;-90.2125;;United States;美國;
;Belhaven University - Jackson, MS;Jackson;Mississippi;32.3157;-90.2125;;United States;美國;
;Bellarmine University;Louisville;Kentucky;38.1663;-85.6485;;United States;美國;
;Bellevue College;Bellevue;Nebraska;41.1485;-95.939;;United States;美國;
;Bellin College;Green Bay;Wisconsin;44.5148;-87.9895;;United States;美國;
;Belmont Abbey College;Belmont;California;37.5154;-122.2953;;United States;美國;
;Belmont University;Nashville;Tennessee;36.1715;-86.7842;;United States;美國;
比洛特學院;Beloit College;Beloit;Wisconsin;42.523;-89.0184;;United States;美國;第20行和第23行 - 是同一个学校 - 不同的中文翻译。
貝洛伊特學院;Beloit College;Beloit;Wisconsin;42.523;-89.0184;;United States;美國;第20行和第23行 - 是同一个学校 - 不同的中文翻译。
;Bemidji State University;Bemidji;Minnesota;47.4828;-94.8797;;United States;美國;
;Benedict College;Columbia;South Carolina;34.0378;-80.9036;;United States;美國;
;Benedictine College;Atchison;Kansas;39.5625;-95.1367;;United States;美國;
;Benedictine University;Lisle;Illinois;41.7918;-88.0888;;United States;美國;
;Benjamin Franklin Institute of Technology;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
;Bennett College;Greensboro;North Carolina;36.0956;-79.8271;;United States;美國;
;Bennington College;Bennington;Vermont;42.87813;-73.19677;;United States;美國;
;Bentley University;Waltham;Massachusetts;42.3889;-71.2423;;United States;美國;
;Berea College;Berea;Ohio;41.3696;-81.8641;;United States;美國;
;Berkeley College;New York City;New York;40.6943;-73.9249;;United States;美國;
;Berklee College of Music;Boston;Massachusetts;42.3188;-71.0852;;United States;美國;
;Berry College;Mount Berry;Georgia;34.27509;-85.18328;;United States;美國;
;Bethany College;Scotts Valley;California;37.0555;-122.0118;;United States;美國;Bethany College
;Bethany College;Bethany;West Virginia;40.2053;-80.5629;;United States;美國;
;Bethany College Kansas - Lindsborg, KS;Lindsborg;Kansas;38.5774;-97.6738;;United States;美國;
;Bethany Lutheran College;Mankato;Minnesota;44.1715;-93.9772;;United States;美國;
;Bethel College;North Newton;Kansas;38.0766;-97.3475;;United States;美國;
;Bethel University;Mishawaka;Indiana;41.6742;-86.1666;;United States;美國;
;Bethel University;Saint Paul;Minnesota;44.94441;-93.09327;;United States;美國;
;Bethel University;McKenzie;Tennessee;36.1372;-88.5077;;United States;美國;
;Bethesda University;Anaheim;California;33.839;-117.8574;;United States;美國;
;Bethune-Cookman University;Daytona Beach;Florida;29.1995;-81.0982;;United States;美國;
;Beulah Heights University;Atlanta;Georgia;33.7628;-84.422;;United States;美國;
拜羅專校;Bible Institute of Los Angeles;La Mirada;California;33.9025;-118.0093;;United States;美國;
;Binghamton University;Binghamton;New York;42.1014;-75.9093;;United States;美國;Binghamton
;Biola University;La Mirada;California;33.9025;-118.0093;;United States;美國;
伯明翰南方學院;Birmingham-Southern College;Birmingham;Alabama;33.5279;-86.7971;;United States;美國;Oklahoma Agricultural and Mechanical College (1980-1957) -  then: Oklahoma State University (1957-present)
;Bismarck State College;Bismarck;North Dakota;46.8143;-100.7694;;United States;美國;
;Black Hills State University;Spearfish;South Dakota;44.4909;-103.8155;;United States;美國;
;Blackburn College;Carlinville;Illinois;39.2775;-89.8762;;United States;美國;
;Blessing-Rieman College of Nursing and Health Sciences;Quincy;Illinois;39.9336;-91.3799;;United States;美國;
;Bloomfield College;Bloomfield;New Jersey;40.80677;-74.18542;;United States;美國;
;Bloomsburg University of Pennsylvania;Bloomsburg;Pennsylvania;41.0027;-76.4561;;United States;美國;
